,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,can_book_w/out_host_approval,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,days_avaialable_next_365days,house_rules,license #,last review 
553,1306758,Comfortable. Spacious. Private Room.,45534966158,0.0,Ned,Manhattan,,40.713,-73.99752,United States,US,True,flexible,Private room,2019.0,613.0,123.0,,172.0,7/2/2019,1.84,5.0,2.0,63.0,Please be gentle with the furniture and appliances. Absolutely no smoking allowed. No parties please.,,2019-07-02
554,1307310,Modern Condo in Midtown,64786057639,1.0,Preston,Manhattan,Theater District,40.75895,-73.9883,United States,US,True,flexible,Private room,2021.0,704.0,141.0,,330.0,6/20/2019,7.14,4.0,1.0,420.0,"Please respect the place as if it was your own. No parties or crazy business.  Pets are not allowed.  Our apartment is also a non-smoking environment.  Our community is very quiet and we have a close relationship with our neighbors. We ask that you respect our neighbor’s privacy and monitor noise levels during the night time. If you need to smoke, please smoke outside the building and dispose of your cigarettes afterward.  We also ask that you keep the place relatively clean when you leave.",,2019-06-20
577,1320013,Your Haven in the Upper West Side,61656429942,1.0,Alan,Manhattan,Harlem,40.8078,-73.95208,United States,US,True,flexible,Private room,2010.0,145.0,29.0,7.0,19.0,6/3/2019,0.35,5.0,1.0,231.0,,,2019-06-03
593,1328850,Harlem/Manhattan Classic Apartment,81745064262,1.0,Heather,Manhattan,Harlem,40.80307,-73.95048,United States,US,True,flexible,Private room,2017.0,230.0,46.0,55.0,6.0,1/2/2015,0.08,5.0,2.0,,"-Please don't wear shoes inside the apartment (shoes should be removed in the area just inside the door to the apartment). -Please DO wear shoes while out in the courtyard. -Please keep the doors to the apartment locked at all times. -Please recycle -Please don't move/remove the portable A/C from the bedroom window.  -Please ensure that your bedroom windows are closed and securely locked when running the heat or A/C, before leaving the apartment and before going to bed. -Please ensure that the courtyard gate is closed and securely locked before leaving the apartment and before going to bed. -Please rinse off any dishes/flatware that you use and place them into the dishwasher after use. -Please help conserve energy (and my electricity bill!) by doing the following when you going to bed and when you are leaving: turn lights off, turn the thermostat down to between 60-65 degrees F (colder months), turn the A/C up to 75 degrees F or just turn it off entirely (warmer months). -Please NO smo",,2015-01-02
614,1340448,TURQUOISE: One-Bedroom Apt. in Soho,40808841464,0.0,Roberts,Manhattan,SoHo,40.72599,-74.00168,United States,US,False,flexible,Private room,2005.0,588.0,118.0,5.0,1.0,7/9/2013,0.01,4.0,1.0,392.0,,,2013-07-09
623,1345419,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,53354982147,0.0,Gibson,Manhattan,West Village,40.74,-74.00381,United States,US,False,flexible,Private room,2003.0,488.0,98.0,30.0,80.0,4/26/2019,0.86,5.0,2.0,16.0,,,2019-04-26
666,1369168,+Highly Satisfactory LES dwelling++,20138015423,0.0,Richards,Manhattan,Chinatown,40.7146,-73.991,United States,US,True,flexible,Private room,2006.0,792.0,158.0,4.0,151.0,6/16/2019,1.63,4.0,2.0,193.0,"You are our guests, we are so glad to have you here. For your safety and ours, we ask that you meet your guests off site.  Thus is a non-smoking building. No pets allowed.  Thank you",,2019-06-16
869,1481285,Harlem/Hamilton Heights Sunny Room,21666270746,0.0,Ellis,Manhattan,Harlem,40.82451,-73.94457,United States,US,False,flexible,Private room,2013.0,97.0,19.0,3.0,30.0,1/1/2019,0.35,5.0,3.0,164.0,"We're laid back and don't have too many rules! There is a porch outside if you need to smoke. We like to keep our home neat and hope you help us keep it how you find it!  We do ask that you do not bring guests back. This is a way for us to control who is in our home, and it means a lot to us.  As for noise, just be reasonable. If it's getting late, you know the drill :)",,2019-01-01
877,1485703,Share in NYC's trendy East Village,39369263064,0.0,Kelley,Manhattan,East Village,40.73171,-73.98717,United States,US,False,flexible,Private room,2005.0,357.0,71.0,3.0,136.0,7/1/2019,1.52,4.0,1.0,-6.0,"A list of house details, rules and local information will be provided upon arrival.",,2019-07-01
908,1502824,"HOSTING YOUR COZY,  ECLECTIC MILIEU FOR NYC VISIT",14950604609,1.0,Cole,Manhattan,Inwood,40.86658,-73.92558,United States,US,False,flexible,Private room,2019.0,151.0,30.0,7.0,46.0,5/25/2019,0.62,4.0,2.0,287.0,No Smoking and please clean dishes before departure.,,2019-05-25
923,1511109,TIMES SQUARE HOUSE!,40538094811,0.0,Williams,Manhattan,Hell's Kitchen,40.75782,-73.99349,United States,US,True,flexible,Private room,2016.0,481.0,96.0,5.0,110.0,5/26/2019,1.27,4.0,2.0,393.0,"1.  Check-in time is after 3 p.m. and check-out time is before 11 a.m.    2.  DO NOT TAKE KEYS WITH YOU! On the Departure Date, the keys shall be left on the kitchen counter.  The door to the Property MUST BE LOCKED BEHIND YOU using the key from the lockbox located inside the drawer to the foyer table.  The front door to the building can simply be closed behind you. 3. This is a NON SMOKING property. The smell of smoke in the property, including the common areas of the building, will result in loss of security deposit. 4. A Security Deposit of $250 is required for stays of less than one month.  For monthly stays a Security Deposit of $750 is required. The Security Deposit is fully refundable within 48 hours of departure, provided the following provisions are met:  a.    No damage is done to home or its contents, beyond normal wear and tear.  b.    No charges are incurred due to contraband, pets of Guest, or collection of rents or services rendered during the stay or any other act or om",,2019-05-26
937,1518841,Cute Private room in Upper East Side #14,75844192690,1.0,Hamilton,Manhattan,Upper East Side,40.78164,-73.94717,United States,US,True,flexible,Private room,,741.0,148.0,3.0,5.0,6/29/2019,1.47,4.0,9.0,107.0,,,2019-06-29
991,1548665,Light Superhosted Chill LES Apt,87889290092,1.0,Sullivan,Manhattan,Lower East Side,40.72123,-73.98996,United States,US,True,flexible,Private room,2017.0,290.0,58.0,10.0,67.0,5/16/2019,0.77,4.0,1.0,369.0,,,2019-05-16
1036,1573519,"Very clean, quiet bedroom available",61946445242,1.0,Elaine,Manhattan,Washington Heights,40.83559,-73.94095,United States,US,False,flexible,Private room,2021.0,489.0,98.0,2.0,13.0,1/31/2017,0.15,4.0,1.0,220.0,This is the house where I live all year around; please be respectful of the place as if it was yours and leave it as you found it upon arrival.,,2017-01-31
1232,1681770,Comfortable Private Room in Upper Manhattan 2BR,33944805792,0.0,Kim,Manhattan,East Harlem,40.80762,-73.94017,United States,US,True,flexible,Private room,2004.0,534.0,107.0,2.0,16.0,7/4/2018,0.62,4.0,1.0,303.0,"For instant book, only 4 or less guests. Otherwise send me a message, and we can chat about it. Smoking allowed on balcony or roof deck.",,2018-07-04
1411,1780631,1 BR - Garden - Broadway?,31741001537,0.0,Ken,Manhattan,Upper East Side,40.77975,-73.94977,United States,US,True,flexible,Private room,2016.0,59.0,12.0,1.0,160.0,6/27/2019,1.9,5.0,1.0,121.0,"Maintain cleanliness .  Please carry all the necessary items that is required for your stay , host cannot provide any of it . Also can accomodate females who are veg and eggatarians only",,2019-06-27
1429,1790573,Cozy E. Harlem Brownstone PH,14337990816,0.0,Diego,Manhattan,East Harlem,40.79512,-73.93182,United States,US,False,flexible,Private room,2007.0,639.0,128.0,2.0,129.0,4/6/2019,1.56,4.0,2.0,211.0,No smoking No children under the age of 18 No animals No loud parties or people beyond those included in the reservation No late night check-ins,,2019-04-06
1453,1803828,"Comfortable, clean & quiet in EV",17950404086,0.0,Casper,Manhattan,Gramercy,40.73337,-73.984,United States,US,False,flexible,Private room,2009.0,686.0,137.0,1.0,323.0,6/20/2019,3.89,4.0,1.0,181.0,"NO smoking, no pets, all guests must be disclosed. ",,2019-06-20
1806,1998790,Comfortable Room in UES - NYC,13689707671,0.0,Jhon,Manhattan,East Harlem,40.78728,-73.94579,United States,US,True,flexible,Private room,2007.0,645.0,129.0,4.0,150.0,6/23/2019,1.88,4.0,1.0,277.0,,,2019-06-23
1838,2016463,MANHATTAN CONVENIENT 2 CLOSET ROOM,9332090390,1.0,Ale,Manhattan,Harlem,40.82173,-73.95548,United States,US,True,flexible,Private room,2006.0,194.0,39.0,2.0,33.0,5/28/2019,0.46,4.0,4.0,216.0,"PLEASE READ ALL HOUSE RULES TRASH can only go out  BEFORE  8 AM or the night before trash days ONLY.  Trash days are Monday and Friday ONLY.  Trash must only be placed outside in a black or white trash bag.  Recycling can be placed outside on Fridays in a clear bag or in a box.  DO NOT PUT OUT TRASH ANY OTHER DAYS!  A $100 fine will occur if you put trash out early.  DO NOT have any mail or packages shipped to you while you are staying. Please realize that you are in an apartment and need to be very considerate of the people who live in the units around you.  Beacon Hill is a quiet, professional neighborhood with working people.  Please respect that they do not appreciate loud neighbors. Keep the noise level to a minimum. Do NOT play loud music.  Try not to make too much noise after 10pm, and please do not bring any other guests who are not on the reservation back to the apartment unless you truly trust them.  We realize we cannot stop people from bringing back a ""friend"" but remember ",,2019-05-28
1849,2022539,ON HIGHLINE! Private room & bath,54901841722,0.0,Arthur,Manhattan,Chelsea,40.75284,-74.00138,United States,US,False,flexible,Private room,2021.0,221.0,44.0,2.0,251.0,7/3/2019,3.15,5.0,1.0,322.0,,,2019-07-03
2056,2136865,Artsy Bedroom/Office in WaHi,85621250212,1.0,Michelle,Manhattan,Washington Heights,40.84408,-73.93675,United States,US,False,flexible,Private room,2004.0,608.0,122.0,1.0,120.0,6/21/2019,1.89,4.0,1.0,117.0,,,2019-06-21
2078,2149015,Hell's Kitchen Hideaway - Private Entrance,96384578651,0.0,Nick & Jim,Manhattan,Hell's Kitchen,40.763,-73.98911,United States,US,False,flexible,Private room,2020.0,727.0,145.0,2.0,100.0,6/24/2019,1.31,4.0,1.0,283.0,"Due at move-in: $150 cleaning fee, $100 move-in fee ($250 fee included with Airbnb) $1000 refundable security deposit. NO PETS & NO SMOKING Move-in: after noon Move-out: 11am",,2019-06-24
2093,2157300,East Village Gay Friendly Dbl Room,53069174711,0.0,Seth,Manhattan,East Village,40.72836,-73.98163,United States,US,False,flexible,Private room,2010.0,560.0,112.0,1.0,414.0,6/22/2019,5.39,4.0,2.0,240.0,,,2019-06-22
2117,2170555,Sunny room with private bathroom,63514577476,0.0,Liya,Manhattan,Harlem,40.80667,-73.95562,United States,US,False,flexible,Private room,2014.0,201.0,40.0,2.0,53.0,6/23/2019,0.7,4.0,1.0,82.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",,2019-06-23
2219,2226890,Small room with private bath in New York,61979811836,1.0,Colin,Manhattan,Harlem,40.82943,-73.94728,United States,US,True,flexible,Private room,2019.0,54.0,11.0,2.0,18.0,6/16/2019,3.05,4.0,2.0,38.0,#NAME?,,2019-06-16
2255,2246773,Relaxed in New York,61305011872,1.0,Eo,Manhattan,Harlem,40.825,-73.94132,United States,US,False,flexible,Private room,2012.0,302.0,60.0,3.0,145.0,6/9/2019,1.97,5.0,1.0,401.0,,,2019-06-09
2383,2317467,Huge Private Sunny Bedroom in NYC,47241237769,1.0,Lori,Manhattan,Washington Heights,40.8532,-73.93225,United States,US,False,flexible,Private room,2008.0,629.0,126.0,56.0,0.0,,,4.0,1.0,221.0,,,
2410,2332379,Sexy Bedroom near Central Park!,74131874924,0.0,Ari,Manhattan,East Harlem,40.78943,-73.94726,United States,US,False,flexible,Private room,2006.0,767.0,153.0,1.0,38.0,5/4/2019,0.6,5.0,4.0,355.0,"Please leave the apartment neat as you found it.  Put your sheets and towels in the hamper in the guest closet. If you've prepared food and there are leftovers, be sure to place them in the trash. Better yet, bring the trash and recyclable items downstairs and put them into the appropriate containers in the driveway out back.  Thank you, Deborah",,2019-05-04
2428,2342320,Beautiful East Village Apt,96621025844,1.0,Kevin,Manhattan,East Village,40.72499,-73.98127,United States,US,True,flexible,Private room,2013.0,239.0,48.0,3.0,14.0,5/17/2019,0.24,4.0,1.0,136.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties, pets and smoking are not allowed under any circumstances and incur significant fees.",,2019-05-17
2502,2383191,Your private bedroom in the Upper East Side!,58835593462,1.0,Sullivan,Manhattan,East Harlem,40.78747,-73.95276,United States,US,False,flexible,Private room,2009.0,304.0,61.0,3.0,18.0,5/4/2019,0.25,5.0,1.0,396.0,I ask to be respectful to neighbors.  To leave everything as it was when arrived.  Make yourself at home.,,2019-05-04
2528,2397550,beautiful ROOM in a DREAM APARTMENT,84928025818,1.0,Michel Fabrice,Manhattan,Midtown,40.75728,-73.97152,United States,US,True,flexible,Private room,2008.0,637.0,127.0,1.0,49.0,12/30/2017,0.91,5.0,1.0,319.0,,,2017-12-30
2536,2401969,A real home on the UWS.,51254717715,0.0,Deborah,Manhattan,Upper West Side,40.80274,-73.96459,United States,US,False,flexible,Private room,2005.0,548.0,110.0,1.0,28.0,5/23/2019,0.51,4.0,1.0,377.0,"Please keep shoes off while inside. Food should be kept in the kitchen/dining area. Be mindful of our great neighbors and keep noise to a reasonable level. No pets or smoking, please!",,2019-05-23
2672,2477082,Comfy room in vibrant East Village,91112077983,0.0,Brooke & Terry,Manhattan,East Village,40.72418,-73.98283,United States,US,True,flexible,Private room,2019.0,231.0,46.0,14.0,172.0,5/25/2019,2.39,4.0,1.0,0.0,"No smoking, keep clean and respect property",,2019-05-25
2682,2482605,Private bedroom + private bathroom,45127608606,0.0,Brian,Manhattan,Inwood,40.86457,-73.92749,United States,US,True,flexible,Private room,2017.0,479.0,96.0,2.0,7.0,12/7/2015,0.15,4.0,1.0,275.0,,,2015-12-07
2718,2502487,ALL YOU NEED!! HK/TIME SQ./THEATER (READ REVIEWS),89787582436,0.0,Ty,Manhattan,Theater District,40.76199,-73.98627,United States,US,False,flexible,Private room,2014.0,681.0,136.0,2.0,33.0,4/10/2019,0.47,4.0,2.0,223.0,"This apartment is located on a third floor, no elevator. Guest must be considered and respectful with the noise level. No stumping or running please.",,2019-04-10
2899,2602454,West Village townhouse private suite incl bath,68203670347,1.0,Ann,Manhattan,West Village,40.73089,-74.00302,United States,US,False,flexible,Private room,2020.0,437.0,87.0,1.0,203.0,7/1/2019,2.87,5.0,2.0,332.0,"No smoking  and  Please respect each others space . When leaving out your space please dress respectful to other guess  though out the house . ( example , if you are in the house please wear a Robe of some sort .",,2019-07-01
2921,2614604,Clean room near Columbia Univ,6137207598,1.0,Zee,Manhattan,Morningside Heights,40.81326,-73.96181,United States,US,False,flexible,Private room,2003.0,363.0,73.0,1.0,0.0,,,5.0,1.0,74.0,"All guests are expected to be respectful and mindful of shared spaces, including bathroom, kitchen, and TV room. This includes cleaning up after you and your group in all shared areas. Absolutely no smoking. Guests arriving or returning after 10:00pm must maintain a courteous volume in consideration of other guests. Pets are welcome! If you have a pet and use the backyard, please clean up after your pet.",,
2965,2638906,Midtwn E BEST LOCATION Priv Twin Rm 1 Loving Cat,84205630217,1.0,Lynn,Manhattan,Murray Hill,40.7474,-73.97847,United States,US,False,flexible,Private room,2022.0,116.0,23.0,1.0,135.0,12/12/2018,1.93,5.0,1.0,112.0,"We ask that you treat everything here with care, as it is our home. NO SMOKING IS ALLOWED IN THE HOUSE OR ANYWHERE ON OUR PROPERTY.  If anything is damaged please let us know immediately.",,2018-12-12
2971,2642219,"Sunny, Large (Queen Bed) Private room in 2Bedroom",96875294127,0.0,Helga,Manhattan,East Harlem,40.79377,-73.9361,United States,US,False,flexible,Private room,2004.0,365.0,73.0,14.0,30.0,6/4/2019,0.43,5.0,2.0,216.0,"The golden rule is my mantra- treat others (and their homes) as you'd like to be treated. This is a three unit building, please be respectful of neighbors and observe quiet hours between midnight and 6 a.m.  No smoking or pets permitted.",,2019-06-04
3019,2668730,Nice cozy bedroom with cool views in Hell's kit..!,16814284115,0.0,Anthony,Manhattan,Hell's Kitchen,40.76421,-73.99115,United States,US,True,flexible,Private room,2020.0,364.0,73.0,5.0,62.0,6/23/2019,1.72,4.0,2.0,231.0,"• Check-in time is 3PM. • Check-out time is 11:00AM. • No parties or events • Not suitable for pets • No smoking No smoking, no drugs, no parties and please, no visiting pets or unannounced visitors. Please lock up door when you go out, and during the heating season, turn down the heat. If you are new to Airbnb, the idea is that I’m not renting a room, but rather sharing my home. I live and work here, and enjoy meeting new people. It's like having old friends visit, not like a hotel. You are welcome to make yourself at home in the common living areas and to use the kitchen, but please leave everything as clean and put away as you have found it. As we will be sharing a bathroom, I appreciate your tidying up and keeping personal items in your room. The cat is not allowed outdoors – he can be sneaky so please don’t leave doors open and keep an eye out for her. You are welcome to the kitchen (and common areas), thank you for cleaning your dishes after using them.   I am environmentally fri",,2019-06-23
3151,2741633,"PRIVATE Room, located on Central MANHATTAN***",51637858755,1.0,Denise,Manhattan,Upper East Side,40.7789,-73.95311,United States,US,True,flexible,Private room,2018.0,436.0,87.0,3.0,134.0,6/18/2019,1.96,5.0,1.0,12.0,"I expect guests to treat my home as if it were their own. Be neat and clean, considerate, and respectful of both my home and my neighbors. There is NO additional guests permitted! There is NO smoking in the home, NO pets, NO drugs!!! NO food in the bedroom!! Shoes are to be take off upon entry!!",,2019-06-18
3207,2772562,"Space, elegance, and comfort - Room",16102778429,1.0,Arlene,Manhattan,East Harlem,40.80029,-73.94294,United States,US,True,flexible,Private room,2006.0,166.0,33.0,3.0,7.0,2/27/2016,0.11,5.0,1.0,333.0,,,2016-02-27
3356,2854855,"Spacious haven near Riverside park, subway, and CU",88731683522,0.0,Nicole,Manhattan,Morningside Heights,40.81615,-73.96156,United States,US,False,flexible,Private room,2020.0,294.0,59.0,2.0,19.0,1/8/2018,0.79,4.0,2.0,225.0,,,2018-01-08
3529,2950403,"Large Bright Room, East Village Apt",61812537776,1.0,Seth,Manhattan,East Village,40.72859,-73.98957,United States,US,True,flexible,Private room,2004.0,596.0,119.0,1.0,0.0,,,5.0,1.0,363.0,I prefer those person Who would rent my room over 15 days once(Price will be lower) No smoking inside Cleaning my room at least one time in 3 days No other inappropriate actions on bed Thank you so much,,
3592,2985198,"Bright, Lovely, Private Room in Midtown Manhattan",41417114966,1.0,Lydia,Manhattan,Midtown,40.75667,-73.96464,United States,US,True,flexible,Private room,2022.0,433.0,87.0,3.0,177.0,6/28/2019,2.69,4.0,1.0,317.0,,,2019-06-28
3621,3001214,Home Sweet Home in Historic Harlem-Riverside Drive,66566639126,1.0,Logan,Manhattan,Harlem,40.82252,-73.94462,United States,US,False,flexible,Private room,2012.0,280.0,56.0,2.0,13.0,8/17/2017,0.45,5.0,1.0,47.0,"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS – Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING – Parking is available on street at all times.   (website hidden) – When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basi",,2017-08-17
3655,3019993,Bedroom with Private Bathroom,54120704394,1.0,Maureen And Josiah,Manhattan,Washington Heights,40.84119,-73.939,United States,US,True,flexible,Private room,2017.0,582.0,116.0,1.0,271.0,6/23/2019,4.32,4.0,1.0,95.0,,,2019-06-23
3670,3028277,"CENTRAL PARK, NYC APT",46141906002,0.0,Mena,Manhattan,Upper West Side,40.78616,-73.97348,United States,US,True,flexible,Private room,2006.0,252.0,50.0,2.0,121.0,6/23/2019,2.06,5.0,2.0,301.0,Rules are to respect everyone in the home and keep the place clean as is found.,,2019-06-23
3829,3116093,CLEAN LES HOME,76470520253,1.0,Chris,Manhattan,Chinatown,40.71627,-73.99404,United States,US,False,flexible,Private room,2011.0,663.0,133.0,1.0,4.0,2/22/2015,0.06,5.0,1.0,258.0,"Relax and enjoy. Kitchen fully equipped. Linens and towels supplied.  No smoking. No candles. And, sorry, but this is a place for one adult or a couple. Not suitable for kids.",,2015-02-22
3831,3117197,Hamilton Heights/Harlem Private Bedroom with Roof,79199376574,0.0,Tim,Manhattan,Harlem,40.82016,-73.94559,United States,US,True,flexible,Private room,2008.0,409.0,82.0,3.0,1.0,5/16/2019,0.56,4.0,1.0,204.0,"Please review the terms of this rental agreement. Enclosed is our rental contract and rules. Please read carefully. If you have any questions please don't hesitate to contact me before submitting your payment. By submitting your deposit you agree to these terms, and the fee and dates outlined in the booking email. Please make sure that you have provided us with a cell phone for the primary contact as well as the EXACT number of occupants. Our rates are based on 2 person occupancy. We charge $25 per person, per night for additional persons.  The unit is located at 256 Amory St. #1, Jamaica Plain, MA If you need directions don’t hesitate to call Christine at (PHONE NUMBER HIDDEN). Your confirmation is as follows: Check-in: after 3pm EST (No early check-in please)  Check-out: by 10 am EST (No late check-outs please) Pre-arrival info will be emailed to you before check in. By submitting my deposit, I agree to all terms and conditions of this agreement RENTAL RULES AND REGULATIONS  Arthouse",,2019-05-16
3902,3156411,In the heart of the East Village,90071567880,1.0,Anoop,Manhattan,East Village,40.72916,-73.98022,United States,US,False,flexible,Private room,2014.0,204.0,41.0,3.0,13.0,6/26/2017,0.34,5.0,1.0,159.0,,,2017-06-26
3940,3177398,Quiet & private room in luxury doorman bldg,2131951518,1.0,Kaori,Manhattan,Harlem,40.82349,-73.94193,United States,US,True,flexible,Private room,2019.0,311.0,62.0,3.0,3.0,10/3/2017,0.05,5.0,2.0,377.0,"Please treat the home as you would your own, and treat your hosts as you would like to be treated!",,2017-10-03
4149,3292829,Great Room In Mid Town New York NYC,1348360999,0.0,Anthony,Manhattan,Midtown,40.76419,-73.98018,United States,US,True,flexible,Private room,2006.0,305.0,61.0,7.0,49.0,6/13/2019,0.82,5.0,3.0,106.0,"Check in     4 PM  Check out  11 AM No Smoking, No pets Please No parties and quiet hours after 9 pm Clean dishes or leave them in the dishwasher!  We are not responsible for your belongings. Thank You!",,2019-06-13
4194,3317682,Convenient Private Room in Spanish Harlem (SpaHa),63741721619,1.0,Zachary,Manhattan,East Harlem,40.79121,-73.94793,United States,US,True,flexible,Private room,2005.0,682.0,136.0,2.0,1.0,4/17/2014,0.02,4.0,1.0,420.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",,2014-04-17
4208,3325414,"PRIVATE, GIGANTIC full floor loft w/priv bath",30863227122,0.0,Sandy,Manhattan,Harlem,40.81677,-73.94371,United States,US,False,flexible,Private room,2004.0,791.0,158.0,3.0,89.0,5/28/2019,1.41,5.0,1.0,181.0,,,2019-05-28
4223,3333699,East Village Manhattan NYC Bedroom!,52461690288,0.0,Chris,Manhattan,East Village,40.72278,-73.98497,United States,US,False,flexible,Private room,2016.0,436.0,87.0,3.0,38.0,6/17/2019,0.6,4.0,3.0,122.0,Treat this quaint apartment like it's your own.,,2019-06-17
4247,3346954,East Village loft; authentic NY.,40757555416,0.0,Leo,Manhattan,East Village,40.72266,-73.98337,United States,US,False,flexible,Private room,2016.0,474.0,95.0,3.0,0.0,,,4.0,1.0,166.0,,,
